year,month,passengers,Status
1949,January,112,Processed
1949,February,118,Processed
1949,March,132,Processed
1949,April,129,Processed
1949,May,121,Processed
1949,June,135,Processed
1949,July,148,Processed
1949,August,148,Processed
1949,September,136,Processed
1949,October,119,Processed
1949,November,104,Processed
1949,December,118,Processed
1950,January,115,Processed
1950,February,126,Processed
1950,March,141,Processed
1950,April,135,Processed
1950,May,125,Processed
1950,June,149,Processed
1950,July,170,Processed
1950,August,170,Processed
1950,September,158,Processed
1950,October,133,Processed
1950,November,114,Processed
1950,December,140,Processed
1951,January,145,Processed
1951,February,150,Processed
1951,March,178,Processed
1951,April,163,Processed
1951,May,172,Processed
1951,June,178,Processed
1951,July,199,Processed
1951,August,199,Processed
1951,September,184,Processed
1951,October,162,Processed
1951,November,146,Processed
1951,December,166,Processed
1952,January,171,Processed
1952,February,180,Processed
1952,March,193,Processed
1952,April,181,Processed
1952,May,183,Processed
1952,June,218,Processed
1952,July,230,Processed
1952,August,242,Processed
1952,September,209,Processed
1952,October,191,Processed
1952,November,172,Processed
1952,December,194,Processed
1953,January,196,Processed
1953,February,196,Processed
1953,March,236,Processed
1953,April,235,Processed
1953,May,229,Processed
1953,June,243,Processed
1953,July,264,Processed
1953,August,272,Processed
1953,September,237,Processed
1953,October,211,Processed
1953,November,180,Processed
1953,December,201,Processed
1954,January,204,Processed
1954,February,188,Processed
1954,March,235,Processed
1954,April,227,Processed
1954,May,234,Processed
1954,June,264,Processed
1954,July,302,Processed
1954,August,293,Processed
1954,September,259,Processed
1954,October,229,Processed
1954,November,203,Processed
1954,December,229,Processed
1955,January,242,Processed
1955,February,233,Processed
1955,March,267,Processed
1955,April,269,Processed
1955,May,270,Processed
1955,June,315,Processed
1955,July,364,Processed
1955,August,347,Processed
1955,September,312,Processed
1955,October,274,Processed
1955,November,237,Processed
1955,December,278,Processed
1956,January,284,Processed
1956,February,277,Processed
1956,March,317,Processed
1956,April,313,Processed
1956,May,318,Processed
1956,June,374,Processed
1956,July,413,Processed
1956,August,405,Processed
1956,September,355,Processed
1956,October,306,Processed
1956,November,271,Processed
1956,December,306,Processed
1957,January,315,Processed
1957,February,301,Processed
1957,March,356,Processed
1957,April,348,Processed
1957,May,355,Processed
1957,June,422,Processed
1957,July,465,Processed
1957,August,467,Processed
1957,September,404,Processed
1957,October,347,Processed
1957,November,305,Processed
1957,December,336,Processed
1958,January,340,Processed
1958,February,318,Processed
1958,March,362,Processed
1958,April,348,Processed
1958,May,363,Processed
1958,June,435,Processed
1958,July,491,Processed
1958,August,505,Processed
1958,September,404,Processed
1958,October,359,Processed
1958,November,310,Processed
1958,December,337,Processed
1959,January,360,Processed
1959,February,342,Processed
1959,March,406,Processed
1959,April,396,Processed
1959,May,420,Processed
1959,June,472,Processed
1959,July,548,Processed
1959,August,559,Processed
1959,September,463,Processed
1959,October,407,Processed
1959,November,362,Processed
1959,December,405,Processed
1960,January,417,Processed
1960,February,391,Processed
1960,March,419,Processed
1960,April,461,Processed
1960,May,472,Processed
1960,June,535,Processed
1960,July,622,Processed
1960,August,606,Processed
1960,September,508,Processed
1960,October,461,Processed
1960,November,390,Processed
1960,December,432,Processed
